Year,Migration Percentage of Population,Immigrant Percentage of Population,Emigrant Percentage of Population,fitted_values,residuals
1960-01-01,-1.449480308279714,,,0.07963854647160747,-1.5291188547513215
1961-01-01,-1.41622999575131,,,-1.262519040237425,-0.15371095551388514
1962-01-01,-0.5289046384936795,,,-1.1620093155159361,0.6331046770222566
1963-01-01,-0.2804409934622193,,,-0.13487391390084758,-0.14556707956137172
1964-01-01,-0.5930473914636061,,,-0.2679627005858628,-0.3250846908777433
1965-01-01,-0.6950960970354151,,,-0.5931028019152812,-0.10199329512013389
1966-01-01,-0.7269454444752146,,,-0.5775697577953485,-0.14937568667986612
1967-01-01,-0.4478974659339523,,,-0.6232563764240114,0.17535891049005914
1968-01-01,-0.5487815335013977,,,-0.2620859717607652,-0.2866955617406325
1969-01-01,-0.5114827886041635,,,-0.541596094262814,0.030113305658650447
1970-01-01,-0.169075999661848,,,-0.37517367914712185,0.20609767948527385
1971-01-01,-0.1671095068598452,,,-0.028137480286615155,-0.13897202657323005
1972-01-01,0.3622174292441181,,,-0.17569717001893154,0.5379145992630496
1973-01-01,0.4212641163985159,,,0.5357277532262494,-0.11446363682773353
1974-01-01,0.5099601593625498,,,0.30054429730777144,0.20941586205477836
1975-01-01,0.6270477026539794,,,0.510699135577841,0.11634856707613839
1976-01-01,0.4941245502694523,,,0.5631470938295383,-0.06902254356008602
1977-01-01,0.3046736944732192,,,0.3778440901729525,-0.07317039569973333
1978-01-01,0.2102670391397074,,,0.22611649245202964,-0.015849453312322237
1979-01-01,0.4742497221193034,,,0.17617146050851834,0.29807826161078504
1980-01-01,-0.2344116268166901,,,0.5207511361895807,-0.7551627630062707
1981-01-01,0.05792064871126557,,,-0.49523777100292204,0.5531584197141877
1982-01-01,-0.02868781915198806,,,0.30148858971282183,-0.33017640886480987
1983-01-01,-0.3987922292485615,,,-0.14877322218355182,-0.2500190070650097
1984-01-01,-0.2547826237118261,,,-0.40704255032159065,0.15225992660976456
1985-01-01,-0.5652780235166963,,,-0.11923247425482585,-0.44604554926187046
1986-01-01,-0.7910297229418396,,,-0.6235122598770318,-0.16751746306480775
1987-01-01,-0.6497070527395463,0.4858678829182694,1.135574935657816,-0.6818154596047558,0.03210840686520944
1988-01-01,-1.188669680043598,0.544688731666756,1.733358411710354,-0.48370495834655186,-0.7049647216970463
1989-01-01,-1.250352818805079,0.7604651540340682,2.010817972839147,-1.228764335133058,-0.02158848367202104
1990-01-01,-0.6516838200851799,0.9476450309535586,1.602174631912473,-0.9822721589010263,0.33058833881584637
1991-01-01,-0.05658933262785298,0.9422123882537522,0.9988017208816051,-0.35628637645584266,0.2996970438279897
1992-01-01,0.2079568798599382,1.14376283922966,0.9386161874759374,0.10133408364108532,0.10662279621885287
1993-01-01,-0.0111848659815377,0.9702871238983956,0.9814719898799333,0.22726745777236568,-0.23845232375390338
1994-01-01,-0.1309051450178337,0.8383499712844247,0.9692551163022584,-0.09528403101074838,-0.03562111400708533
1995-01-01,-0.05264848188102496,0.8645434919410414,0.9171919738220664,-0.10238297652308102,0.049734494642056065
1996-01-01,0.2199306668572732,1.077660267600639,0.8577296007433656,-0.0035641203846711877,0.22349478724194438
1997-01-01,0.5225668592996896,1.211157564522718,0.6885907052230286,0.2872479974754555,0.23531886182423412
1998-01-01,0.4686621258514029,1.238991826963479,0.7703297011120759,0.5318698701097989,-0.06320774425839604
1999-01-01,0.4607452994658018,1.302337869588307,0.8389293024955351,0.36020538804948893,0.10053991141631285
2000-01-01,0.6832801863988348,1.382328377099181,0.6990481907003464,0.42470062346983417,0.25857956292900064
2001-01-01,0.8483688169626172,1.526029274414464,0.6776604574518467,0.6691133094488017,0.17925550751381558
2002-01-01,1.050370210992162,1.701447145650743,0.6510769346585801,0.7654891901362201,0.2848810208559419
2003-01-01,0.7681681142173405,1.501305760685356,0.7331376464680155,0.9710013816947377,-0.20283326747739716
2004-01-01,0.7861901764554714,1.437253916332659,0.6510637398771872,0.5369035826325217,0.2492865938229497
2005-01-01,1.324546613223254,2.033695888905396,0.7067453798323716,0.7465425227646874,0.5780040904585666
2006-01-01,1.680085904336658,2.52246880901799,0.8423829046813325,1.3146581952129388,0.36542770912371925
2007-01-01,2.382391038572456,3.434916850460861,1.052525811888404,1.5041777848729085,0.8782132536995475
2008-01-01,1.432216724014733,2.528096394644979,1.095879670630246,2.281587597771273,-0.84937087375654
2009-01-01,0.03527822947385828,1.625003445139597,1.587520326323623,0.7830546053490619,-0.7477763758752036
2010-01-01,-0.6030496770394865,0.9166355091000197,1.517492278222999,-0.2786079551085229,-0.32444172193096366
2011-01-01,-0.598242302979596,1.163734114920163,1.75979305183049,-0.6008564680939141,0.002614165114318112
2012-01-01,-0.558752377687039,1.245778647527912,1.804531025214951,-0.45572016799698273,-0.10303220969005628
2013-01-01,-0.4044278578559354,1.35602281751696,1.758287959555484,-0.4701203431629955,0.06569248530706012
2014-01-01,-0.1824919381502617,1.427731045528518,1.61022298367878,-0.27507333770591996,0.09258139955565825
2015-01-01,0.1254796672959791,1.614221482672002,1.488741815376023,-0.08780925067292066,0.21328891796889976
2016-01-01,0.3406700053729128,1.730687743345106,1.392120639239927,0.20808730546924809,0.13258269990366472
2017-01-01,0.8154116122934117,1.982365475805157,1.166953863511745,0.34351739545701193,0.4718942168363998
2018-01-01,0.9122070562092126,1.972339580992892,1.06013252478368,0.8658650528078704,0.0463420034013422
2019-01-01,0.8917099348646426,1.9678416971672,1.076131762302557,0.758575727737039,0.1331342071276036
